trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
,,,,,,,,,,,
1,19445,4909,True,False,39,väsynyt,tired,hard,0.3,No Hint,1
,,,,,,,,,,,
2,27712,1431,True,False,39,väsynyt,tired,hard,0.3,No Hint,1
,,,,,,,,,,,
3,31612,2299,True,False,18,kolme,three,easy,0.3,No Hint,1
,,,,,,,,,,,
4,36320,909,True,False,18,kolme,three,easy,0.3,No Hint,1
,,,,,,,,,,,
5,39483,2784,True,False,27,naudanliha,beef,hard,0.3,No Hint,1
,,,,,,,,,,,
6,44588,3068,False,False,31,yhdeksän,nine,hard,0.3,No Hint,1
,,,,,,,,,,,
7,50746,1470,True,False,27,naudanliha,beef,hard,0.3,No Hint,1
,,,,,,,,,,,
8,54376,1189,True,False,31,yhdeksän,nine,hard,0.3,No Hint,1
,,,,,,,,,,,
9,57675,3512,True,False,43,suuttunut,angry,hard,0.3,No Hint,1
,,,,,,,,,,,
10,63569,2934,True,False,35,kantapää,heel,hard,0.3,No Hint,1
,,,,,,,,,,,
11,68810,1175,True,False,43,suuttunut,angry,hard,0.3,No Hint,1
,,,,,,,,,,,
12,72334,1057,True,False,35,kantapää,heel,hard,0.3,No Hint,1
,,,,,,,,,,,
13,75725,7352,False,False,39,väsynyt,tired,hard,0.39921875,No Hint,1
,,,,,,,,,,,
14,85280,5454,False,False,18,kolme,three,easy,0.39921875,No Hint,1
,,,,,,,,,,,
15,92888,2549,True,False,39,väsynyt,tired,hard,0.434375,No Hint,1
,,,,,,,,,,,
16,97673,11471,False,False,18,kolme,three,easy,0.4265625,No Hint,1
,,,,,,,,,,,
17,111371,1267,True,False,27,naudanliha,beef,hard,0.20078125,No Hint,1
,,,,,,,,,,,
18,114726,6123,False,False,31,yhdeksän,nine,hard,0.39921875,No Hint,1
,,,,,,,,,,,
19,122309,2140,True,False,39,väsynyt,tired,hard,0.43203125,No Hint,1
,,,,,,,,,,,
20,126824,1416,True,False,18,kolme,three,easy,0.42578125,No Hint,1
,,,,,,,,,,,
21,132420,3221,True,False,31,yhdeksän,nine,hard,0.409375,No Hint,1
,,,,,,,,,,,
22,137711,1086,True,False,43,suuttunut,angry,hard,0.20078125,No Hint,1
,,,,,,,,,,,
23,141958,1120,True,False,35,kantapää,heel,hard,0.20078125,No Hint,1
,,,,,,,,,,,
24,145149,1917,True,False,1,käsi,hand,easy,0.3,No Hint,1
,,,,,,,,,,,
25,149263,4693,True,False,37,hienostelija,snob,hard,0.3,No Hint,1
,,,,,,,,,,,
26,156327,1046,True,False,1,käsi,hand,easy,0.3,No Hint,1
,,,,,,,,,,,
27,159370,1721,True,False,37,hienostelija,snob,hard,0.3,No Hint,1
,,,,,,,,,,,
28,163579,1235,True,False,39,väsynyt,tired,hard,0.4078125,No Hint,1
,,,,,,,,,,,
29,167135,1167,True,False,31,yhdeksän,nine,hard,0.40859375,No Hint,1
,,,,,,,,,,,
30,170314,1125,True,False,18,kolme,three,easy,0.425,No Hint,1
,,,,,,,,,,,
31,173652,4248,True,False,4,vuosi,year,easy,0.3,No Hint,1
,,,,,,,,,,,
32,180041,3231,True,False,25,rauhoittaa,calm,hard,0.3,No Hint,1
,,,,,,,,,,,
33,185845,1672,True,False,4,vuosi,year,easy,0.3,No Hint,1
,,,,,,,,,,,
