trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
1,28423.0,inf,True,False,45,seitsemän,seven,hard,0.3,Hint,1
2,52436.0,1755.0,True,False,45,seitsemän,seven,hard,0.3,Hint,1
3,60143.0,4722.0,True,False,29,sianliha,pork,hard,0.3,Hint,1
4,69750.0,2480.0,True,False,29,sianliha,pork,hard,0.3,Hint,1
5,76629.0,4089.0,True,False,15,talo,house,easy,0.3,Hint,1
6,83154.0,3303.0,True,False,34,maljakko,vase,hard,0.3,Hint,1
7,90008.0,2119.0,True,False,15,talo,house,easy,0.3,Hint,1
8,94386.0,2419.0,True,False,34,maljakko,vase,hard,0.3,Hint,1
9,98816.0,2539.0,True,False,9,lumi,snow,easy,0.3,Hint,1
10,105053.0,1546.0,True,False,45,seitsemän,seven,hard,0.250390625,Hint,1
11,108863.0,1240.0,True,False,9,lumi,snow,easy,0.3,Hint,1
12,112126.0,7215.0,True,False,2,pää,head,easy,0.3,Hint,1
13,125761.0,inf,False,False,29,sianliha,pork,hard,0.349609375,Hint,1
14,138831.0,1079.0,False,True,29,sianliha,pork,hard,0.39921874999999996,Hint,1
15,141908.0,inf,True,False,2,pää,head,easy,0.3,Hint,1
16,147633.0,855.0,True,False,15,talo,house,easy,0.250390625,Hint,1
17,150394.0,1199.0,True,False,34,maljakko,vase,hard,0.250390625,Hint,1
18,153523.0,3809.0,True,False,36,runoilija,poet,hard,0.3,Hint,1
19,159859.0,2906.0,True,False,9,lumi,snow,easy,0.349609375,Hint,1
20,165010.0,1635.0,True,False,36,runoilija,poet,hard,0.3,Hint,1
21,169816.0,3959.0,True,False,43,suuttunut,angry,hard,0.3,Hint,1
22,178825.0,1994.0,True,False,29,sianliha,pork,hard,0.398828125,Hint,1
23,183162.0,4175.0,False,False,43,suuttunut,angry,hard,0.3,Hint,1
24,187526.0,1081.0,True,True,43,suuttunut,angry,hard,0.349609375,Hint,1
25,195741.0,2847.0,True,False,2,pää,head,easy,0.349609375,Hint,1
26,200720.0,3881.0,False,False,12,vaimo,wife,easy,0.3,Hint,1
27,206100.0,inf,True,False,9,lumi,snow,easy,0.35624999999999996,Hint,1
28,211357.0,1091.0,True,False,12,vaimo,wife,easy,0.3,Hint,1
29,215290.0,3918.0,True,False,36,runoilija,poet,hard,0.349609375,Hint,1
30,221279.0,3879.0,True,False,44,sairaanhoitaja,nurse,hard,0.3,Hint,1
31,231489.0,5128.0,True,False,47,päivänkakkara,daisy,hard,0.3,Hint,1
32,239970.0,4722.0,False,False,44,sairaanhoitaja,nurse,hard,0.3,Hint,1
33,244865.0,973.0,True,True,44,sairaanhoitaja,nurse,hard,0.29960937499999996,Hint,1
34,247907.0,2560.0,False,False,47,päivänkakkara,daisy,hard,0.3,Hint,1
35,250844.0,863.0,True,True,47,päivänkakkara,daisy,hard,0.29960937499999996,Hint,1
36,254040.0,3472.0,True,False,43,suuttunut,angry,hard,0.39921874999999996,Hint,1
37,260015.0,4718.0,True,False,29,sianliha,pork,hard,0.41796875,Hint,1
38,268224.0,27.0,False,False,2,pää,head,easy,0.36875,Hint,1
39,269766.0,3719.0,True,False,36,runoilija,poet,hard,0.39921874999999996,Hint,1
40,275509.0,1632.0,True,False,12,vaimo,wife,easy,0.250390625,Hint,1
41,279136.0,15008.0,True,False,43,suuttunut,angry,hard,0.4488281249999999,Hint,1
42,296910.0,801.0,True,False,9,lumi,snow,easy,0.35273437499999993,Hint,1
43,299718.0,1395.0,True,False,43,suuttunut,angry,hard,0.42421874999999987,Hint,1
44,303269.0,1036.0,True,False,36,runoilija,poet,hard,0.398828125,Hint,1
45,306220.0,1224.0,True,False,29,sianliha,pork,hard,0.417578125,Hint,1
46,309695.0,2478.0,True,False,16,pieni,small,easy,0.3,Hint,1
47,314376.0,1447.0,True,False,17,vesi,water,easy,0.3,Hint,1
48,318358.0,891.0,True,False,16,pieni,small,easy,0.3,Hint,1
49,324519.0,1332.0,True,False,17,vesi,water,easy,0.3,Hint,1
50,327917.0,1194.0,True,False,2,pää,head,easy,0.366796875,Hint,1
51,332229.0,29.0,False,False,3,ruma,ugly,easy,0.3,Hint,1
52,333760.0,inf,True,False,23,ylpeä,proud,easy,0.3,Hint,1
53,343493.0,2088.0,False,False,3,ruma,ugly,easy,0.3,Hint,1
54,345877.0,inf,True,True,3,ruma,ugly,easy,0.349609375,Hint,1
55,362358.0,12339.0,False,False,23,ylpeä,proud,easy,0.3,Hint,1
56,375145.0,inf,True,True,23,ylpeä,proud,easy,0.349609375,Hint,1
57,381440.0,inf,True,False,47,päivänkakkara,daisy,hard,0.3492187499999999,Hint,1
58,389159.0,23854.0,True,False,43,suuttunut,angry,hard,0.42460937499999984,Hint,1
59,416888.0,1033.0,True,False,16,pieni,small,easy,0.250390625,Hint,1
60,419926.0,743.0,True,False,17,vesi,water,easy,0.250390625,Hint,1
61,422727.0,1499.0,True,False,3,ruma,ugly,easy,0.30000000000000004,Hint,1
62,426182.0,1776.0,True,False,36,runoilija,poet,hard,0.34921875,Hint,1
63,430051.0,1703.0,True,False,44,sairaanhoitaja,nurse,hard,0.24999999999999997,Hint,1
64,433994.0,3406.0,False,False,29,sianliha,pork,hard,0.4671875,Hint,1
65,439556.0,4771.0,True,False,47,päivänkakkara,daisy,hard,0.39882812499999987,Hint,1
66,446782.0,1649.0,True,False,23,ylpeä,proud,easy,0.34921875,Hint,1
67,452016.0,4443.0,True,False,9,lumi,snow,easy,0.35624999999999996,Hint,1
68,458334.0,938.0,True,False,29,sianliha,pork,hard,0.417578125,Hint,1
69,461565.0,2452.0,True,False,2,pää,head,easy,0.35468750000000004,Hint,1
70,467117.0,3925.0,True,False,43,suuttunut,angry,hard,0.4742187499999998,Hint,1
71,473358.0,1639.0,True,False,47,päivänkakkara,daisy,hard,0.3804687499999998,Hint,1
72,478071.0,inf,True,False,45,seitsemän,seven,hard,0.29999999999999993,Hint,1
73,481749.0,1434.0,True,False,43,suuttunut,angry,hard,0.4738281249999998,Hint,1
74,485799.0,1881.0,True,False,34,maljakko,vase,hard,0.20078125,Hint,1
75,490300.0,996.0,True,False,15,talo,house,easy,0.20078125,Hint,1
76,493311.0,2710.0,True,False,28,kalastaa,fish,hard,0.3,Hint,1
77,501539.0,3148.0,True,False,30,vasikanliha,veal,hard,0.3,Hint,1
78,508534.0,1004.0,True,False,28,kalastaa,fish,hard,0.3,Hint,1
79,513650.0,604.0,True,False,30,vasikanliha,veal,hard,0.3,Hint,1
80,519104.0,1835.0,True,False,19,kello,clock,easy,0.3,Hint,1
81,526406.0,960.0,True,False,43,suuttunut,angry,hard,0.47343749999999984,Hint,1
82,529706.0,1116.0,True,False,19,kello,clock,easy,0.3,Hint,1
83,533144.0,2385.0,True,False,23,ylpeä,proud,easy,0.343359375,Hint,1
84,537816.0,2219.0,True,False,8,olut,beer,easy,0.3,Hint,1
85,543540.0,1475.0,True,False,21,pilvi,cloud,easy,0.3,Hint,1
86,554758.0,8483.0,False,False,8,olut,beer,easy,0.3,Hint,1
87,563855.0,1059.0,True,True,8,olut,beer,easy,0.29960937499999996,Hint,1
88,567189.0,6737.0,False,False,21,pilvi,cloud,easy,0.3,Hint,1
89,574235.0,8314.0,True,True,21,pilvi,cloud,easy,0.349609375,Hint,1
90,584621.0,4151.0,True,False,28,kalastaa,fish,hard,0.349609375,Hint,1
91,592461.0,inf,False,False,30,vasikanliha,veal,hard,0.349609375,Hint,1
92,597035.0,1034.0,True,False,19,kello,clock,easy,0.250390625,Hint,1
93,601190.0,1165.0,True,False,43,suuttunut,angry,hard,0.4238281249999999,Hint,1
94,604977.0,1149.0,True,False,47,päivänkakkara,daisy,hard,0.3769531249999998,Hint,1
95,608412.0,1403.0,True,False,9,lumi,snow,easy,0.3550781249999999,Hint,1
96,612930.0,2473.0,True,False,29,sianliha,pork,hard,0.41171875,Hint,1
97,617799.0,1091.0,True,False,45,seitsemän,seven,hard,0.250390625,Hint,1
98,621311.0,10756.0,False,False,3,ruma,ugly,easy,0.349609375,Hint,1

1,697015.0,5895.0,True,False,48,hiekkaranta,beach,hard,0.3,No Hint,2
2,706935.0,842.0,True,False,48,hiekkaranta,beach,hard,0.3,No Hint,2
3,710134.0,2376.0,True,False,1,käsi,hand,easy,0.3,No Hint,2
4,716615.0,718.0,True,False,1,käsi,hand,easy,0.3,No Hint,2
5,719387.0,2762.0,True,False,24,lapsi,child,easy,0.3,No Hint,2
