trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
1,6861.0,1326.0,True,False,48,hiekkaranta,beach,hard,0.3,No Hint,1
2,10475.0,848.0,True,False,48,hiekkaranta,beach,hard,0.3,No Hint,1
3,13731.0,785.0,True,False,13,pitkä,tall,easy,0.3,No Hint,1
4,16577.0,476.0,True,False,13,pitkä,tall,easy,0.3,No Hint,1
5,19109.0,1091.0,True,False,32,vesisade,rain,hard,0.3,No Hint,1
6,22395.0,807.0,True,False,45,seitsemän,seven,hard,0.3,No Hint,1
7,25834.0,1303.0,True,False,32,vesisade,rain,hard,0.3,No Hint,1
8,29853.0,1117.0,True,False,45,seitsemän,seven,hard,0.3,No Hint,1
9,33472.0,1196.0,True,False,25,rauhoittaa,calm,hard,0.3,No Hint,1
10,36740.0,760.0,True,False,40,sateinen,rainy,hard,0.3,No Hint,1
11,40496.0,1010.0,True,False,25,rauhoittaa,calm,hard,0.3,No Hint,1
12,43568.0,906.0,False,False,40,sateinen,rainy,hard,0.3,No Hint,1
13,46894.0,842.0,True,False,7,hyvä,good,easy,0.3,No Hint,1
14,49767.0,3572.0,False,False,48,hiekkaranta,beach,hard,0.39921875,No Hint,1
15,54786.0,917.0,True,False,7,hyvä,good,easy,0.3,No Hint,1
16,58275.0,1039.0,False,False,13,pitkä,tall,easy,0.39921875,No Hint,1
17,61649.0,1043.0,True,False,18,kolme,three,easy,0.3,No Hint,1
18,65020.0,3932.0,True,False,48,hiekkaranta,beach,hard,0.4515625,No Hint,1
19,71481.0,inf,True,False,18,kolme,three,easy,0.3,No Hint,1
20,75841.0,inf,True,False,13,pitkä,tall,easy,0.45,No Hint,1
21,79172.0,1108.0,True,False,32,vesisade,rain,hard,0.20078124999999997,No Hint,1
22,84369.0,1205.0,True,False,48,hiekkaranta,beach,hard,0.45078124999999997,No Hint,1
23,87991.0,795.0,True,False,45,seitsemän,seven,hard,0.20078124999999997,No Hint,1
24,91186.0,882.0,True,False,25,rauhoittaa,calm,hard,0.20078124999999997,No Hint,1
25,94112.0,inf,True,False,13,pitkä,tall,easy,0.51484375,No Hint,1
26,97470.0,inf,True,False,40,sateinen,rainy,hard,0.39921875,No Hint,1
27,102763.0,926.0,True,False,13,pitkä,tall,easy,0.46562500000000007,No Hint,1
28,105659.0,715.0,True,False,7,hyvä,good,easy,0.20078124999999997,No Hint,1
29,108337.0,1574.0,True,False,31,yhdeksän,nine,hard,0.3,No Hint,1
30,111983.0,1304.0,True,False,40,sateinen,rainy,hard,0.3984375,No Hint,1
31,115606.0,2544.0,True,False,31,yhdeksän,nine,hard,0.3,No Hint,1
32,120245.0,1064.0,True,False,48,hiekkaranta,beach,hard,0.44999999999999996,No Hint,1
33,125557.0,7900.0,False,False,18,kolme,three,easy,0.39921875,No Hint,1
34,135677.0,2317.0,True,False,34,maljakko,vase,hard,0.3,No Hint,1
35,140340.0,1564.0,True,False,18,kolme,three,easy,0.3984375,No Hint,1
