trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
1,52754.0,1289.0,True,False,4,vuosi,year,easy,0.3,Hint,1
2,55953.0,890.0,True,False,4,vuosi,year,easy,0.3,Hint,1
3,58714.0,724.0,True,False,20,paita,shirt,easy,0.3,Hint,1
4,61750.0,457.0,True,False,20,paita,shirt,easy,0.3,Hint,1
5,64395.0,723.0,True,False,43,suuttunut,angry,hard,0.3,Hint,1
6,67587.0,804.0,True,False,30,vasikanliha,veal,hard,0.3,Hint,1
7,70696.0,inf,True,False,43,suuttunut,angry,hard,0.3,Hint,1
8,74768.0,1394.0,True,False,30,vasikanliha,veal,hard,0.3,Hint,1
9,78191.0,749.0,True,False,8,olut,beer,easy,0.3,Hint,1
10,80902.0,965.0,True,False,13,pitkä,tall,easy,0.3,Hint,1
11,84049.0,687.0,True,False,8,olut,beer,easy,0.3,Hint,1
12,86757.0,1567.0,False,False,13,pitkä,tall,easy,0.3,Hint,1
13,90454.0,863.0,True,False,31,yhdeksän,nine,hard,0.3,Hint,1
14,93387.0,1029.0,True,False,23,ylpeä,proud,easy,0.3,Hint,1
15,96549.0,907.0,True,False,31,yhdeksän,nine,hard,0.3,Hint,1
16,99441.0,1303.0,True,False,23,ylpeä,proud,easy,0.3,Hint,1
17,102809.0,1041.0,True,False,4,vuosi,year,easy,0.250390625,Hint,1
18,105686.0,1451.0,True,False,20,paita,shirt,easy,0.250390625,Hint,1
19,109147.0,inf,True,False,3,ruma,ugly,easy,0.3,Hint,1
20,112509.0,831.0,True,False,26,kiireinen,busy,hard,0.3,Hint,1
21,115342.0,963.0,True,False,3,ruma,ugly,easy,0.3,Hint,1
22,119609.0,931.0,True,False,26,kiireinen,busy,hard,0.3,Hint,1
23,122536.0,800.0,True,False,43,suuttunut,angry,hard,0.250390625,Hint,1
24,125579.0,2210.0,True,False,30,vasikanliha,veal,hard,0.27460937500000004,Hint,1
25,129977.0,668.0,True,False,8,olut,beer,easy,0.250390625,Hint,1
26,132608.0,inf,True,False,13,pitkä,tall,easy,0.349609375,Hint,1
27,138364.0,835.0,True,False,40,sateinen,rainy,hard,0.3,Hint,1
28,141408.0,1035.0,True,False,31,yhdeksän,nine,hard,0.250390625,Hint,1
29,144343.0,783.0,True,False,40,sateinen,rainy,hard,0.3,Hint,1
30,147351.0,968.0,True,False,23,ylpeä,proud,easy,0.250390625,Hint,1
31,150344.0,1042.0,True,False,32,vesisade,rain,hard,0.3,Hint,1
32,153346.0,1370.0,True,False,46,kahdeksan,eight,hard,0.3,Hint,1
33,156694.0,980.0,True,False,32,vesisade,rain,hard,0.3,Hint,1
34,159585.0,827.0,True,False,46,kahdeksan,eight,hard,0.3,Hint,1
35,163723.0,927.0,True,False,3,ruma,ugly,easy,0.250390625,Hint,1
36,166802.0,1187.0,True,False,26,kiireinen,busy,hard,0.250390625,Hint,1
37,170024.0,1991.0,True,False,38,kateellisuus,envy,hard,0.3,Hint,1
38,174470.0,1602.0,True,False,13,pitkä,tall,easy,0.34921875,Hint,1
39,178124.0,3794.0,True,False,38,kateellisuus,envy,hard,0.3,Hint,1
40,185024.0,1204.0,True,False,2,pää,head,easy,0.3,Hint,1
41,188420.0,966.0,True,False,40,sateinen,rainy,hard,0.250390625,Hint,1
42,191569.0,770.0,True,False,2,pää,head,easy,0.3,Hint,1
43,194224.0,800.0,True,False,16,pieni,small,easy,0.3,Hint,1
44,197123.0,1023.0,True,False,10,kenkä,shoe,easy,0.3,Hint,1
45,200106.0,769.0,True,False,16,pieni,small,easy,0.3,Hint,1
46,202926.0,733.0,True,False,10,kenkä,shoe,easy,0.3,Hint,1
47,205621.0,950.0,True,False,32,vesisade,rain,hard,0.250390625,Hint,1
48,208454.0,inf,True,False,46,kahdeksan,eight,hard,0.349609375,Hint,1
49,214530.0,800.0,True,False,48,hiekkaranta,beach,hard,0.3,Hint,1
