trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
1,62477.0,2337.0,True,False,2,pää,head,easy,0.3,No Hint,1
2,69526.0,2781.0,True,False,2,pää,head,easy,0.3,No Hint,1
3,75206.0,2347.0,True,False,4,vuosi,year,easy,0.3,No Hint,1
4,81035.0,1898.0,True,False,4,vuosi,year,easy,0.3,No Hint,1
5,85845.0,2636.0,True,False,36,runoilija,poet,hard,0.3,No Hint,1
6,94064.0,2765.0,True,False,40,sateinen,rainy,hard,0.3,No Hint,1
7,100653.0,1876.0,True,False,36,runoilija,poet,hard,0.3,No Hint,1
8,106326.0,7776.0,True,False,40,sateinen,rainy,hard,0.3,No Hint,1
9,117896.0,3086.0,True,False,2,pää,head,easy,0.349609375,No Hint,1
10,124240.0,2934.0,True,False,42,aurinkoinen,sunny,hard,0.3,No Hint,1
11,131390.0,5806.0,True,False,4,vuosi,year,easy,0.349609375,No Hint,1
12,140141.0,6607.0,True,False,42,aurinkoinen,sunny,hard,0.3,No Hint,1
13,150112.0,2631.0,True,False,30,vasikanliha,veal,hard,0.3,No Hint,1
14,157710.0,3574.0,False,False,36,runoilija,poet,hard,0.349609375,No Hint,1
15,164718.0,3153.0,True,False,30,vasikanliha,veal,hard,0.3,No Hint,1
16,171288.0,3718.0,True,False,40,sateinen,rainy,hard,0.349609375,No Hint,1
17,178494.0,1949.0,True,False,2,pää,head,easy,0.34921875,No Hint,1
18,185768.0,5476.0,True,False,4,vuosi,year,easy,0.39921874999999996,No Hint,1
19,194023.0,2238.0,True,False,42,aurinkoinen,sunny,hard,0.28789062499999996,No Hint,1
20,199239.0,inf,True,False,36,runoilija,poet,hard,0.39921874999999996,No Hint,1
21,209381.0,3006.0,True,False,45,seitsemän,seven,hard,0.3,No Hint,1
22,217212.0,4888.0,False,False,4,vuosi,year,easy,0.4488281249999999,No Hint,1
23,225818.0,2136.0,True,False,45,seitsemän,seven,hard,0.3,No Hint,1
24,231188.0,1955.0,True,False,40,sateinen,rainy,hard,0.34921875,No Hint,1
25,236921.0,1679.0,True,False,30,vasikanliha,veal,hard,0.250390625,No Hint,1
26,241922.0,5922.0,False,False,36,runoilija,poet,hard,0.42460937499999996,No Hint,1
27,252646.0,4083.0,True,False,4,vuosi,year,easy,0.4492187499999999,No Hint,1
28,259851.0,3302.0,True,False,2,pää,head,easy,0.374609375,No Hint,1
