trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
1,45932.0,3372.0,True,False,15,talo,house,easy,0.3,Hint,1
2,51769.0,775.0,True,False,15,talo,house,easy,0.3,Hint,1
3,54916.0,2308.0,True,False,27,naudanliha,beef,hard,0.3,Hint,1
4,60001.0,839.0,True,False,27,naudanliha,beef,hard,0.3,Hint,1
5,63587.0,1318.0,True,False,3,ruma,ugly,easy,0.3,Hint,1
6,66991.0,1603.0,True,False,6,viisi,five,easy,0.3,Hint,1
7,70570.0,844.0,True,False,3,ruma,ugly,easy,0.3,Hint,1
8,73502.0,1063.0,True,False,6,viisi,five,easy,0.3,Hint,1
9,76483.0,1201.0,True,False,24,lapsi,child,easy,0.3,Hint,1
10,79982.0,1843.0,True,False,12,vaimo,wife,easy,0.3,Hint,1
11,83777.0,898.0,True,False,24,lapsi,child,easy,0.3,Hint,1
12,86703.0,897.0,True,False,12,vaimo,wife,easy,0.3,Hint,1
13,89524.0,1091.0,True,False,19,kello,clock,easy,0.3,Hint,1
14,93002.0,1483.0,True,False,33,vuorovesi,tide,hard,0.3,Hint,1
15,97532.0,1723.0,True,False,19,kello,clock,easy,0.3,Hint,1
16,101449.0,1856.0,True,False,33,vuorovesi,tide,hard,0.3,Hint,1
17,105618.0,10822.0,False,False,15,talo,house,easy,0.349609375,Hint,1
18,116664.0,2427.0,True,True,15,talo,house,easy,0.39921874999999996,Hint,1
19,121135.0,1478.0,True,False,27,naudanliha,beef,hard,0.250390625,Hint,1
20,124657.0,1419.0,True,False,3,ruma,ugly,easy,0.250390625,Hint,1
21,129412.0,2195.0,True,False,6,viisi,five,easy,0.262109375,Hint,1
22,133741.0,1136.0,True,False,24,lapsi,child,easy,0.250390625,Hint,1
23,136813.0,1153.0,True,False,12,vaimo,wife,easy,0.250390625,Hint,1
24,139964.0,1390.0,True,False,41,onnellinen,happy,hard,0.3,Hint,1
25,143575.0,1230.0,True,False,19,kello,clock,easy,0.250390625,Hint,1
26,147027.0,1345.0,True,False,41,onnellinen,happy,hard,0.3,Hint,1
27,150579.0,2264.0,True,False,33,vuorovesi,tide,hard,0.27460937500000004,Hint,1
28,155217.0,2711.0,True,False,15,talo,house,easy,0.42460937499999996,Hint,1
29,159917.0,1294.0,True,False,25,rauhoittaa,calm,hard,0.3,Hint,1
30,165399.0,1107.0,True,False,46,kahdeksan,eight,hard,0.3,Hint,1
31,169989.0,2172.0,True,False,25,rauhoittaa,calm,hard,0.3,Hint,1
32,175480.0,1977.0,True,False,46,kahdeksan,eight,hard,0.3,Hint,1
33,180084.0,1679.0,True,False,45,seitsemän,seven,hard,0.3,Hint,1
34,184012.0,2489.0,True,False,44,sairaanhoitaja,nurse,hard,0.3,Hint,1
35,189137.0,1054.0,True,False,45,seitsemän,seven,hard,0.3,Hint,1
36,193628.0,1963.0,True,False,44,sairaanhoitaja,nurse,hard,0.3,Hint,1
37,197965.0,1106.0,True,False,15,talo,house,easy,0.41874999999999996,Hint,1
38,201295.0,3237.0,True,False,41,onnellinen,happy,hard,0.349609375,Hint,1
39,206694.0,1079.0,True,False,13,pitkä,tall,easy,0.3,Hint,1
40,210130.0,1512.0,True,False,43,suuttunut,angry,hard,0.3,Hint,1
41,213895.0,1033.0,True,False,13,pitkä,tall,easy,0.3,Hint,1
42,217013.0,1019.0,True,False,43,suuttunut,angry,hard,0.3,Hint,1
43,220616.0,3267.0,True,False,25,rauhoittaa,calm,hard,0.349609375,Hint,1
44,226195.0,1544.0,True,False,46,kahdeksan,eight,hard,0.250390625,Hint,1
45,230261.0,1827.0,True,False,35,kantapää,heel,hard,0.3,Hint,1
46,234463.0,1015.0,True,False,20,paita,shirt,easy,0.3,Hint,1
47,237459.0,959.0,True,False,35,kantapää,heel,hard,0.3,Hint,1
48,240746.0,988.0,True,False,20,paita,shirt,easy,0.3,Hint,1
49,243732.0,971.0,True,False,45,seitsemän,seven,hard,0.250390625,Hint,1
50,248078.0,inf,True,False,41,onnellinen,happy,hard,0.37812500000000004,Hint,1
51,254577.0,1946.0,True,False,44,sairaanhoitaja,nurse,hard,0.250390625,Hint,1
52,258777.0,1002.0,True,False,15,talo,house,easy,0.4175781249999999,Hint,1
53,261732.0,3447.0,True,False,13,pitkä,tall,easy,0.349609375,Hint,1
54,267270.0,1418.0,True,False,43,suuttunut,angry,hard,0.250390625,Hint,1
55,270958.0,3580.0,True,False,25,rauhoittaa,calm,hard,0.3890625,Hint,1
56,276674.0,1301.0,True,False,23,ylpeä,proud,easy,0.3,Hint,1
57,280257.0,1302.0,True,False,36,runoilija,poet,hard,0.3,Hint,1
58,284081.0,1168.0,True,False,23,ylpeä,proud,easy,0.3,Hint,1
59,287323.0,1166.0,True,False,36,runoilija,poet,hard,0.3,Hint,1
60,290636.0,8053.0,False,False,35,kantapää,heel,hard,0.349609375,Hint,1
61,298840.0,2041.0,True,True,35,kantapää,heel,hard,0.39921874999999996,Hint,1
62,302909.0,4391.0,False,False,20,paita,shirt,easy,0.349609375,Hint,1
63,307480.0,17040.0,False,True,20,paita,shirt,easy,0.39921874999999996,Hint,1
64,325998.0,1192.0,True,False,41,onnellinen,happy,hard,0.374609375,Hint,1
65,330550.0,2146.0,True,False,13,pitkä,tall,easy,0.30000000000000004,Hint,1
66,334935.0,1481.0,True,False,25,rauhoittaa,calm,hard,0.387109375,Hint,1
67,338655.0,9222.0,True,False,23,ylpeä,proud,easy,0.349609375,Hint,1
68,350369.0,14474.0,False,False,35,kantapää,heel,hard,0.42460937499999996,Hint,1
