trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
1,40197.0,2828.0,True,False,6,viisi,five,easy,0.3,No Hint,1
2,47398.0,940.0,True,False,6,viisi,five,easy,0.3,No Hint,1
3,50740.0,1643.0,True,False,7,hyvä,good,easy,0.3,No Hint,1
4,54598.0,679.0,True,False,7,hyvä,good,easy,0.3,No Hint,1
5,57305.0,1140.0,True,False,15,talo,house,easy,0.3,No Hint,1
6,61283.0,1523.0,True,False,23,ylpeä,proud,easy,0.3,No Hint,1
7,65205.0,1401.0,True,False,15,talo,house,easy,0.3,No Hint,1
8,68681.0,2830.0,True,False,23,ylpeä,proud,easy,0.3,No Hint,1
9,74166.0,4695.0,True,False,21,pilvi,cloud,easy,0.3,No Hint,1
10,80946.0,1919.0,True,False,2,pää,head,easy,0.3,No Hint,1
11,84887.0,1774.0,True,False,21,pilvi,cloud,easy,0.3,No Hint,1
12,88647.0,1254.0,True,False,2,pää,head,easy,0.3,No Hint,1
13,91724.0,1008.0,True,False,17,vesi,water,easy,0.3,No Hint,1
14,94930.0,1072.0,True,False,6,viisi,five,easy,0.250390625,No Hint,1
15,97827.0,1256.0,True,False,17,vesi,water,easy,0.3,No Hint,1
16,101780.0,2026.0,True,False,7,hyvä,good,easy,0.250390625,No Hint,1
17,105666.0,1805.0,True,False,26,kiireinen,busy,hard,0.3,No Hint,1
18,109686.0,998.0,True,False,16,pieni,small,easy,0.3,No Hint,1
19,115397.0,10753.0,False,False,26,kiireinen,busy,hard,0.3,No Hint,1
20,127600.0,1748.0,True,False,16,pieni,small,easy,0.3,No Hint,1
21,133465.0,3779.0,True,False,15,talo,house,easy,0.349609375,No Hint,1
22,139179.0,2021.0,False,False,23,ylpeä,proud,easy,0.349609375,No Hint,1
23,143126.0,inf,False,False,21,pilvi,cloud,easy,0.349609375,No Hint,1
24,157523.0,2417.0,False,False,2,pää,head,easy,0.349609375,No Hint,1
25,161903.0,inf,True,False,17,vesi,water,easy,0.349609375,No Hint,1
26,175363.0,20460.0,False,False,26,kiireinen,busy,hard,0.349609375,No Hint,1
27,197276.0,1562.0,True,False,15,talo,house,easy,0.30000000000000004,No Hint,1
