trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
1,53278.0,3342.0,True,False,7,hyvä,good,easy,0.3,Hint,1
2,62127.0,5014.0,True,False,7,hyvä,good,easy,0.3,Hint,1
3,69877.0,3951.0,True,False,27,naudanliha,beef,hard,0.3,Hint,1
4,77243.0,1793.0,True,False,27,naudanliha,beef,hard,0.3,Hint,1
5,82319.0,3798.0,True,False,26,kiireinen,busy,hard,0.3,Hint,1
6,90080.0,6356.0,True,False,25,rauhoittaa,calm,hard,0.3,Hint,1
7,100444.0,2425.0,True,False,26,kiireinen,busy,hard,0.3,Hint,1
8,106705.0,1475.0,True,False,25,rauhoittaa,calm,hard,0.3,Hint,1
9,111382.0,1230.0,True,False,7,hyvä,good,easy,0.250390625,Hint,1
10,115592.0,1789.0,True,False,21,pilvi,cloud,easy,0.3,Hint,1
11,122304.0,4877.0,True,False,36,runoilija,poet,hard,0.3,Hint,1
12,131228.0,2504.0,False,False,21,pilvi,cloud,easy,0.3,Hint,1
13,138370.0,5586.0,True,False,36,runoilija,poet,hard,0.3,Hint,1
14,147334.0,2390.0,True,False,27,naudanliha,beef,hard,0.273046875,Hint,1
15,152939.0,13961.0,False,False,26,kiireinen,busy,hard,0.349609375,Hint,1
16,167860.0,2128.0,True,True,26,kiireinen,busy,hard,0.39921874999999996,Hint,1
17,174809.0,11035.0,False,False,25,rauhoittaa,calm,hard,0.349609375,Hint,1
18,189202.0,9786.0,False,False,21,pilvi,cloud,easy,0.349609375,Hint,1
19,199300.0,2728.0,True,True,21,pilvi,cloud,easy,0.39921874999999996,Hint,1
20,205145.0,4707.0,True,False,36,runoilija,poet,hard,0.349609375,Hint,1
21,212847.0,4229.0,True,False,26,kiireinen,busy,hard,0.426171875,Hint,1
22,221288.0,inf,False,False,25,rauhoittaa,calm,hard,0.39921874999999996,Hint,1
23,231138.0,5050.0,True,False,6,viisi,five,easy,0.3,Hint,1
24,243932.0,5791.0,False,False,21,pilvi,cloud,easy,0.4488281249999999,Hint,1
25,250140.0,1471.0,True,True,21,pilvi,cloud,easy,0.46171874999999996,Hint,1
26,254637.0,3095.0,True,False,6,viisi,five,easy,0.3,Hint,1
27,260454.0,14054.0,True,False,26,kiireinen,busy,hard,0.46328125,Hint,1
28,277110.0,7366.0,True,False,25,rauhoittaa,calm,hard,0.4488281249999999,Hint,1
29,287103.0,1701.0,True,False,36,runoilija,poet,hard,0.34921875,Hint,1
30,291300.0,inf,False,False,26,kiireinen,busy,hard,0.512890625,Hint,1
31,308940.0,1503.0,True,True,26,kiireinen,busy,hard,0.5125000000000001,Hint,1
