trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
1,25007.0,4418.0,False,False,34,maljakko,vase,hard,0.3,Hint,1
2,30996.0,2301.0,True,False,34,maljakko,vase,hard,0.3,Hint,1
3,35788.0,3377.0,False,False,20,paita,shirt,easy,0.3,Hint,1
4,40691.0,1996.0,True,False,20,paita,shirt,easy,0.3,Hint,1
5,47248.0,2278.0,False,False,2,pää,head,easy,0.3,Hint,1
6,51059.0,3977.0,False,False,40,sateinen,rainy,hard,0.3,Hint,1
7,56571.0,1508.0,True,False,2,pää,head,easy,0.3,Hint,1
8,60343.0,1703.0,True,False,40,sateinen,rainy,hard,0.3,Hint,1
9,65016.0,3633.0,False,False,7,hyvä,good,easy,0.3,Hint,1
10,70170.0,3364.0,False,False,42,aurinkoinen,sunny,hard,0.3,Hint,1
11,75075.0,1128.0,True,False,7,hyvä,good,easy,0.3,Hint,1
12,78306.0,989.0,True,False,42,aurinkoinen,sunny,hard,0.3,Hint,1
13,81644.0,3264.0,True,False,34,maljakko,vase,hard,0.349609375,Hint,1
14,86953.0,4328.0,False,False,20,paita,shirt,easy,0.349609375,Hint,1
15,91362.0,11006.0,False,True,20,paita,shirt,easy,0.39921874999999996,Hint,1
16,104294.0,2902.0,True,False,2,pää,head,easy,0.349609375,Hint,1
17,109196.0,1125.0,True,False,40,sateinen,rainy,hard,0.250390625,Hint,1
18,113060.0,3418.0,False,False,45,seitsemän,seven,hard,0.3,Hint,1
19,117977.0,2704.0,True,False,4,vuosi,year,easy,0.3,Hint,1
20,123456.0,2630.0,True,False,45,seitsemän,seven,hard,0.3,Hint,1
21,128763.0,982.0,True,False,4,vuosi,year,easy,0.3,Hint,1
22,133112.0,2565.0,True,False,34,maljakko,vase,hard,0.37421875000000004,Hint,1
23,137657.0,2179.0,False,False,20,paita,shirt,easy,0.4371093749999999,Hint,1
24,141899.0,2101.0,True,False,7,hyvä,good,easy,0.250390625,Hint,1
25,146029.0,2603.0,False,False,42,aurinkoinen,sunny,hard,0.349609375,Hint,1
26,148724.0,1776.0,True,True,42,aurinkoinen,sunny,hard,0.39609375,Hint,1
27,153213.0,inf,True,False,2,pää,head,easy,0.36250000000000004,Hint,1
28,159041.0,4478.0,False,False,20,paita,shirt,easy,0.48671874999999987,Hint,1
29,163771.0,3754.0,False,True,20,paita,shirt,easy,0.5105468749999998,Hint,1
30,176253.0,1303.0,True,False,45,seitsemän,seven,hard,0.250390625,Hint,1
31,179780.0,5441.0,False,False,4,vuosi,year,easy,0.349609375,Hint,1
32,185348.0,3334.0,False,True,4,vuosi,year,easy,0.39921874999999996,Hint,1
33,200768.0,5732.0,True,False,20,paita,shirt,easy,0.5601562499999999,Hint,1
34,210669.0,1271.0,True,False,42,aurinkoinen,sunny,hard,0.39570312500000004,Hint,1
35,214753.0,1436.0,True,False,20,paita,shirt,easy,0.5597656249999999,Hint,1
36,219834.0,1416.0,False,False,34,maljakko,vase,hard,0.38398437500000004,Hint,1
37,223345.0,2339.0,False,False,2,pää,head,easy,0.412109375,Hint,1
38,229413.0,5747.0,False,False,4,vuosi,year,easy,0.43085937499999993,Hint,1
39,235289.0,1710.0,True,True,4,vuosi,year,easy,0.4312499999999999,Hint,1
40,239014.0,3182.0,False,False,20,paita,shirt,easy,0.6062500000000001,Hint,1
41,244517.0,3316.0,False,False,44,sairaanhoitaja,nurse,hard,0.3,Hint,1
42,249372.0,2904.0,True,False,20,paita,shirt,easy,0.6191406250000001,Hint,1
43,256295.0,1741.0,True,False,44,sairaanhoitaja,nurse,hard,0.3,Hint,1
44,261525.0,1185.0,True,False,20,paita,shirt,easy,0.60859375,Hint,1
45,265040.0,1754.0,False,False,2,pää,head,easy,0.46171874999999996,Hint,1
46,269260.0,1377.0,True,False,42,aurinkoinen,sunny,hard,0.3460937500000001,Hint,1
47,273181.0,1274.0,True,False,34,maljakko,vase,hard,0.38359375000000007,Hint,1
48,276445.0,2398.0,True,False,20,paita,shirt,easy,0.6496093750000002,Hint,1
49,282671.0,1710.0,True,False,2,pää,head,easy,0.461328125,Hint,1
50,286467.0,1430.0,True,False,20,paita,shirt,easy,0.6492187500000002,Hint,1
51,290413.0,3368.0,True,False,4,vuosi,year,easy,0.48085937499999987,Hint,1
52,295997.0,1435.0,True,False,20,paita,shirt,easy,0.5996093750000001,Hint,1
53,300028.0,1888.0,False,False,16,pieni,small,easy,0.3,Hint,1
54,303453.0,1695.0,False,False,19,kello,clock,easy,0.3,Hint,1
55,306679.0,1140.0,True,False,16,pieni,small,easy,0.3,Hint,1
56,311733.0,1448.0,True,False,19,kello,clock,easy,0.3,Hint,1
57,315886.0,1790.0,True,False,4,vuosi,year,easy,0.4804687499999999,Hint,1
58,319738.0,2200.0,True,False,44,sairaanhoitaja,nurse,hard,0.262109375,Hint,1
59,324984.0,inf,True,False,2,pää,head,easy,0.46328125,Hint,1
60,333129.0,1223.0,True,False,20,paita,shirt,easy,0.55,Hint,1
61,336581.0,5671.0,True,False,5,neljä,four,easy,0.3,Hint,1
62,344327.0,2750.0,True,False,46,kahdeksan,eight,hard,0.3,Hint,1
63,350696.0,2184.0,True,False,5,neljä,four,easy,0.3,Hint,1
64,355479.0,2056.0,True,False,46,kahdeksan,eight,hard,0.3,Hint,1
65,359994.0,1567.0,True,False,4,vuosi,year,easy,0.4800781249999999,Hint,1
66,363586.0,1289.0,True,False,16,pieni,small,easy,0.250390625,Hint,1
67,367107.0,1453.0,True,False,19,kello,clock,easy,0.250390625,Hint,1
68,372262.0,1546.0,False,False,34,maljakko,vase,hard,0.38398437500000004,Hint,1
69,375929.0,2877.0,True,False,2,pää,head,easy,0.500390625,Hint,1
70,380957.0,3308.0,True,False,15,talo,house,easy,0.3,Hint,1
71,386374.0,1937.0,True,False,35,kantapää,heel,hard,0.3,Hint,1
72,392954.0,4867.0,False,False,15,talo,house,easy,0.3,Hint,1
73,397937.0,4516.0,False,True,15,talo,house,easy,0.349609375,Hint,1
74,407611.0,6319.0,False,False,35,kantapää,heel,hard,0.3,Hint,1
75,414051.0,3097.0,False,True,35,kantapää,heel,hard,0.349609375,Hint,1
76,422766.0,inf,True,False,2,pää,head,easy,0.51328125,Hint,1
77,430607.0,1374.0,True,False,4,vuosi,year,easy,0.43046874999999996,Hint,1
78,434178.0,2507.0,True,False,5,neljä,four,easy,0.27460937500000004,Hint,1
79,439185.0,2151.0,True,False,46,kahdeksan,eight,hard,0.250390625,Hint,1
80,443582.0,1754.0,True,False,20,paita,shirt,easy,0.500390625,Hint,1
81,447460.0,2143.0,True,False,2,pää,head,easy,0.504296875,Hint,1
82,451807.0,2735.0,True,False,15,talo,house,easy,0.38749999999999996,Hint,1
83,456674.0,2374.0,True,False,40,sateinen,rainy,hard,0.22499999999999998,Hint,1
84,461685.0,3885.0,True,False,33,vuorovesi,tide,hard,0.3,Hint,1
85,467628.0,3172.0,True,False,35,kantapää,heel,hard,0.39921874999999996,Hint,1
86,473059.0,1846.0,True,False,33,vuorovesi,tide,hard,0.3,Hint,1
87,478617.0,4572.0,False,False,42,aurinkoinen,sunny,hard,0.39570312500000004,Hint,1
88,483295.0,2908.0,True,True,42,aurinkoinen,sunny,hard,0.4203125000000001,Hint,1
89,490960.0,inf,True,False,15,talo,house,easy,0.4371093749999999,Hint,1
90,499395.0,2413.0,True,False,2,pää,head,easy,0.50390625,Hint,1
91,503838.0,4489.0,True,False,35,kantapää,heel,hard,0.427734375,Hint,1
92,510301.0,1258.0,True,False,34,maljakko,vase,hard,0.35625000000000007,Hint,1
93,513973.0,2534.0,False,False,7,hyvä,good,easy,0.29999999999999993,Hint,1
94,516575.0,1813.0,True,True,7,hyvä,good,easy,0.3121093749999999,Hint,1
95,520798.0,1304.0,True,False,15,talo,house,easy,0.42265624999999996,Hint,1
96,524289.0,2003.0,True,False,45,seitsemän,seven,hard,0.20312499999999997,Hint,1
97,534497.0,1959.0,True,False,33,vuorovesi,tide,hard,0.250390625,Hint,1
98,538773.0,1322.0,False,False,35,kantapää,heel,hard,0.47734374999999996,Hint,1
99,542206.0,1748.0,True,False,42,aurinkoinen,sunny,hard,0.37070312500000013,Hint,1
