trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
1,17444.0,1848.0,True,False,19,kello,clock,easy,0.3,No Hint,1
2,21521.0,1550.0,True,False,19,kello,clock,easy,0.3,No Hint,1
3,25278.0,2152.0,True,False,35,kantapää,heel,hard,0.3,No Hint,1
4,29681.0,1343.0,True,False,35,kantapää,heel,hard,0.3,No Hint,1
5,33211.0,1530.0,True,False,22,lyhyt,short,easy,0.3,No Hint,1
6,37202.0,2451.0,True,False,39,väsynyt,tired,hard,0.3,No Hint,1
7,41896.0,966.0,True,False,22,lyhyt,short,easy,0.3,No Hint,1
8,45039.0,1093.0,True,False,39,väsynyt,tired,hard,0.3,No Hint,1
9,48401.0,1902.0,True,False,5,neljä,four,easy,0.3,No Hint,1
10,52854.0,1337.0,True,False,16,pieni,small,easy,0.3,No Hint,1
11,57027.0,1591.0,True,False,5,neljä,four,easy,0.3,No Hint,1
12,60803.0,1959.0,True,False,16,pieni,small,easy,0.3,No Hint,1
13,65017.0,1723.0,False,False,19,kello,clock,easy,0.349609375,No Hint,1
14,69943.0,2734.0,True,False,24,lapsi,child,easy,0.3,No Hint,1
15,75011.0,4243.0,False,False,35,kantapää,heel,hard,0.349609375,No Hint,1
16,81294.0,1329.0,True,False,24,lapsi,child,easy,0.3,No Hint,1
17,84795.0,3006.0,True,False,15,talo,house,easy,0.3,No Hint,1
18,90183.0,4709.0,False,False,22,lyhyt,short,easy,0.349609375,No Hint,1
19,98394.0,1278.0,True,False,15,talo,house,easy,0.3,No Hint,1
20,101687.0,2796.0,False,False,39,väsynyt,tired,hard,0.349609375,No Hint,1
21,107889.0,1537.0,True,False,19,kello,clock,easy,0.30000000000000004,No Hint,1
22,111519.0,994.0,True,False,5,neljä,four,easy,0.250390625,No Hint,1
23,116632.0,2305.0,True,False,16,pieni,small,easy,0.27460937500000004,No Hint,1
24,121058.0,14601.0,False,False,35,kantapää,heel,hard,0.39921874999999996,No Hint,1
25,137861.0,936.0,True,False,24,lapsi,child,easy,0.250390625,No Hint,1
