trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
1,22214.0,3464.0,False,False,32,vesisade,rain,hard,0.3,Hint,1
2,30771.0,inf,True,False,32,vesisade,rain,hard,0.3,Hint,1
3,41204.0,inf,True,False,48,hiekkaranta,beach,hard,0.3,Hint,1
4,46897.0,inf,True,False,48,hiekkaranta,beach,hard,0.3,Hint,1
5,52654.0,1816.0,True,False,33,vuorovesi,tide,hard,0.3,Hint,1
6,56474.0,inf,True,False,2,pää,head,easy,0.3,Hint,1
7,61510.0,3176.0,False,False,33,vuorovesi,tide,hard,0.3,Hint,1
8,67029.0,2221.0,False,False,2,pää,head,easy,0.3,Hint,1
9,71251.0,1278.0,True,False,47,päivänkakkara,daisy,hard,0.3,Hint,1
10,75271.0,1045.0,True,False,22,lyhyt,short,easy,0.3,Hint,1
11,78783.0,3936.0,False,False,47,päivänkakkara,daisy,hard,0.3,Hint,1
12,84700.0,3978.0,False,False,22,lyhyt,short,easy,0.3,Hint,1
13,91145.0,5806.0,False,False,32,vesisade,rain,hard,0.349609375,Hint,1
14,98443.0,2715.0,False,False,48,hiekkaranta,beach,hard,0.349609375,Hint,1
15,101584.0,2249.0,True,True,48,hiekkaranta,beach,hard,0.39921874999999996,Hint,1
16,106252.0,1183.0,True,False,13,pitkä,tall,easy,0.3,Hint,1
17,109898.0,2313.0,False,False,33,vuorovesi,tide,hard,0.349609375,Hint,1
18,113499.0,1508.0,True,True,33,vuorovesi,tide,hard,0.39921874999999996,Hint,1
19,117532.0,1547.0,False,False,13,pitkä,tall,easy,0.3,Hint,1
20,121435.0,4554.0,True,False,2,pää,head,easy,0.349609375,Hint,1
21,128781.0,7250.0,False,False,47,päivänkakkara,daisy,hard,0.349609375,Hint,1
22,137096.0,inf,True,True,47,päivänkakkara,daisy,hard,0.39921874999999996,Hint,1
23,142241.0,2356.0,False,False,32,vesisade,rain,hard,0.39921874999999996,Hint,1
24,146836.0,1697.0,False,False,48,hiekkaranta,beach,hard,0.4488281249999999,Hint,1
25,150461.0,inf,False,False,22,lyhyt,short,easy,0.349609375,Hint,1
26,155401.0,2101.0,True,True,22,lyhyt,short,easy,0.39921874999999996,Hint,1
27,159939.0,1776.0,False,False,33,vuorovesi,tide,hard,0.4488281249999999,Hint,1
28,163788.0,1910.0,False,False,48,hiekkaranta,beach,hard,0.49843749999999987,Hint,1
29,170237.0,1762.0,True,False,2,pää,head,easy,0.34921875,Hint,1
30,173858.0,2111.0,False,False,13,pitkä,tall,easy,0.349609375,Hint,1
31,178027.0,1232.0,True,False,32,vesisade,rain,hard,0.398828125,Hint,1
32,181231.0,1486.0,True,False,48,hiekkaranta,beach,hard,0.4488281249999999,Hint,1
33,185004.0,3821.0,False,False,33,vuorovesi,tide,hard,0.49843749999999987,Hint,1
34,188951.0,1311.0,True,True,33,vuorovesi,tide,hard,0.5105468749999998,Hint,1
35,193455.0,7130.0,False,False,47,päivänkakkara,daisy,hard,0.4488281249999999,Hint,1
36,202597.0,2882.0,False,False,22,lyhyt,short,easy,0.4488281249999999,Hint,1
37,207524.0,1681.0,False,False,47,päivänkakkara,daisy,hard,0.4937499999999999,Hint,1
38,209388.0,5089.0,True,True,47,päivänkakkara,daisy,hard,0.4941406249999999,Hint,1
39,217197.0,1482.0,False,False,33,vuorovesi,tide,hard,0.5359374999999998,Hint,1
40,221056.0,1749.0,False,False,13,pitkä,tall,easy,0.39921874999999996,Hint,1
41,222900.0,1987.0,True,True,13,pitkä,tall,easy,0.4488281249999999,Hint,1
42,227050.0,1440.0,True,False,22,lyhyt,short,easy,0.40546874999999993,Hint,1
43,231851.0,1628.0,True,False,33,vuorovesi,tide,hard,0.5230468749999998,Hint,1
44,235358.0,5503.0,False,False,47,päivänkakkara,daisy,hard,0.54375,Hint,1
45,243378.0,2633.0,True,False,32,vesisade,rain,hard,0.41328124999999993,Hint,1
46,247950.0,inf,False,False,47,päivänkakkara,daisy,hard,0.593359375,Hint,1
47,256564.0,1155.0,False,False,13,pitkä,tall,easy,0.46171874999999996,Hint,1
48,259209.0,2710.0,False,False,47,päivänkakkara,daisy,hard,0.6429687500000001,Hint,1
49,262041.0,2577.0,True,True,47,päivänkakkara,daisy,hard,0.6925781250000002,Hint,1
50,267863.0,inf,True,False,48,hiekkaranta,beach,hard,0.49843749999999987,Hint,1
51,276835.0,1489.0,False,False,47,päivänkakkara,daisy,hard,0.7242187500000001,Hint,1
52,280432.0,1832.0,False,False,33,vuorovesi,tide,hard,0.5726562499999999,Hint,1
53,284321.0,2175.0,False,False,47,päivänkakkara,daisy,hard,0.7730468750000001,Hint,1
54,288861.0,1858.0,True,False,48,hiekkaranta,beach,hard,0.4980468749999999,Hint,1
55,292795.0,1497.0,False,False,47,päivänkakkara,daisy,hard,0.8109375000000002,Hint,1
56,297551.0,1351.0,False,False,33,vuorovesi,tide,hard,0.613671875,Hint,1
57,301175.0,3424.0,False,False,47,päivänkakkara,daisy,hard,0.8605468750000003,Hint,1
58,306517.0,1099.0,True,False,13,pitkä,tall,easy,0.4371093749999999,Hint,1
59,309946.0,2006.0,False,False,47,päivänkakkara,daisy,hard,0.9101562500000003,Hint,1
60,314399.0,1186.0,True,False,33,vuorovesi,tide,hard,0.61171875,Hint,1
61,317407.0,inf,True,False,47,päivänkakkara,daisy,hard,0.9347656250000004,Hint,1
62,334063.0,2019.0,True,False,33,vuorovesi,tide,hard,0.5621093749999999,Hint,1
63,340434.0,6878.0,True,False,47,päivänkakkara,daisy,hard,0.9226562500000003,Hint,1
64,350070.0,1336.0,True,False,2,pää,head,easy,0.29960937500000007,Hint,1
65,353305.0,4289.0,True,False,47,päivänkakkara,daisy,hard,0.8855468750000003,Hint,1
66,361044.0,2192.0,True,False,48,hiekkaranta,beach,hard,0.44843749999999993,Hint,1
67,365473.0,1524.0,True,False,47,päivänkakkara,daisy,hard,0.8601562500000003,Hint,1
68,370255.0,1181.0,True,False,32,vesisade,rain,hard,0.40898437499999996,Hint,1
69,373395.0,1391.0,True,False,47,päivänkakkara,daisy,hard,0.8371093750000003,Hint,1
70,377873.0,1949.0,True,False,22,lyhyt,short,easy,0.398828125,Hint,1
71,382015.0,1075.0,True,False,47,päivänkakkara,daisy,hard,0.7875000000000002,Hint,1
72,388270.0,1788.0,True,False,33,vuorovesi,tide,hard,0.553125,Hint,1
73,391895.0,1810.0,True,False,47,päivänkakkara,daisy,hard,0.7378906250000001,Hint,1
74,396265.0,2223.0,True,False,13,pitkä,tall,easy,0.43671874999999993,Hint,1
75,400578.0,1683.0,True,False,25,rauhoittaa,calm,hard,0.3,Hint,1
76,404748.0,1358.0,True,False,24,lapsi,child,easy,0.3,Hint,1
77,410588.0,1956.0,True,False,25,rauhoittaa,calm,hard,0.3,Hint,1
78,415022.0,832.0,True,False,24,lapsi,child,easy,0.3,Hint,1
79,418171.0,1127.0,True,False,47,päivänkakkara,daisy,hard,0.6882812500000001,Hint,1
80,421906.0,1369.0,True,False,33,vuorovesi,tide,hard,0.5035156249999999,Hint,1
81,425150.0,1070.0,True,False,14,kova,hard,easy,0.3,Hint,1
82,428192.0,963.0,True,False,8,olut,beer,easy,0.3,Hint,1
83,431073.0,1450.0,False,False,14,kova,hard,easy,0.3,Hint,1
84,434525.0,1106.0,True,False,8,olut,beer,easy,0.3,Hint,1
85,437566.0,1107.0,True,False,32,vesisade,rain,hard,0.359375,Hint,1
86,441429.0,1135.0,True,False,37,hienostelija,snob,hard,0.3,Hint,1
87,445400.0,1574.0,True,False,47,päivänkakkara,daisy,hard,0.638671875,Hint,1
88,450541.0,2714.0,False,False,37,hienostelija,snob,hard,0.3,Hint,1
89,453398.0,1361.0,True,True,37,hienostelija,snob,hard,0.349609375,Hint,1
90,457000.0,1314.0,True,False,13,pitkä,tall,easy,0.39179687499999993,Hint,1
91,460450.0,2782.0,True,False,22,lyhyt,short,easy,0.41718750000000004,Hint,1
92,465606.0,3129.0,True,False,48,hiekkaranta,beach,hard,0.4488281249999999,Hint,1
93,471046.0,1853.0,False,False,25,rauhoittaa,calm,hard,0.349609375,Hint,1
94,473122.0,1374.0,True,True,25,rauhoittaa,calm,hard,0.39921874999999996,Hint,1
95,476988.0,1220.0,True,False,24,lapsi,child,easy,0.250390625,Hint,1
96,480543.0,1552.0,False,False,14,kova,hard,easy,0.349609375,Hint,1
97,482250.0,1599.0,True,True,14,kova,hard,easy,0.39921874999999996,Hint,1
98,486003.0,951.0,True,False,8,olut,beer,easy,0.250390625,Hint,1
99,488892.0,inf,True,False,23,ylpeä,proud,easy,0.3,Hint,1
100,494132.0,1101.0,False,False,40,sateinen,rainy,hard,0.3,Hint,1
101,497258.0,2506.0,False,False,23,ylpeä,proud,easy,0.3,Hint,1
102,502162.0,1324.0,True,False,40,sateinen,rainy,hard,0.3,Hint,1
103,505770.0,2511.0,False,False,37,hienostelija,snob,hard,0.39921874999999996,Hint,1
104,508409.0,1740.0,True,True,37,hienostelija,snob,hard,0.4488281249999999,Hint,1
105,512329.0,3455.0,False,False,25,rauhoittaa,calm,hard,0.412109375,Hint,1
106,515879.0,1022.0,True,True,25,rauhoittaa,calm,hard,0.40937500000000004,Hint,1
107,519036.0,1218.0,False,False,14,kova,hard,easy,0.4488281249999999,Hint,1
108,520357.0,1152.0,True,True,14,kova,hard,easy,0.49843749999999987,Hint,1
109,523799.0,2381.0,False,False,47,päivänkakkara,daisy,hard,0.6390625,Hint,1
110,526311.0,914.0,True,True,47,päivänkakkara,daisy,hard,0.6144531249999999,Hint,1
111,530770.0,1759.0,True,False,22,lyhyt,short,easy,0.3675781250000001,Hint,1
112,534681.0,inf,False,False,37,hienostelija,snob,hard,0.49843749999999987,Hint,1
113,537559.0,1405.0,True,True,37,hienostelija,snob,hard,0.49882812499999984,Hint,1
114,541050.0,1200.0,False,False,14,kova,hard,easy,0.5230468749999999,Hint,1
115,542357.0,879.0,True,True,14,kova,hard,easy,0.5359374999999998,Hint,1
116,545268.0,1090.0,False,False,33,vuorovesi,tide,hard,0.5039062499999999,Hint,1
117,546465.0,1031.0,True,True,33,vuorovesi,tide,hard,0.5527343749999999,Hint,1
118,549473.0,1326.0,False,False,23,ylpeä,proud,easy,0.349609375,Hint,1
119,552799.0,1360.0,True,False,40,sateinen,rainy,hard,0.250390625,Hint,1
120,556369.0,2201.0,True,False,48,hiekkaranta,beach,hard,0.43671874999999993,Hint,1
121,561037.0,1661.0,True,False,14,kova,hard,easy,0.5285156249999998,Hint,1
122,564671.0,4386.0,False,False,37,hienostelija,snob,hard,0.5484374999999999,Hint,1
123,569221.0,1012.0,True,True,37,hienostelija,snob,hard,0.5480468749999999,Hint,1
124,572237.0,2735.0,True,False,33,vuorovesi,tide,hard,0.5773437499999999,Hint,1
125,576818.0,1504.0,True,False,12,vaimo,wife,easy,0.3,Hint,1
126,580286.0,1003.0,True,False,36,runoilija,poet,hard,0.3,Hint,1
127,583895.0,1975.0,True,False,12,vaimo,wife,easy,0.3,Hint,1
128,587762.0,422.0,True,False,36,runoilija,poet,hard,0.3,Hint,1
129,592027.0,2511.0,True,False,14,kova,hard,easy,0.5414062499999998,Hint,1
130,596491.0,1460.0,False,False,37,hienostelija,snob,hard,0.59765625,Hint,1
