ohjelmoija, programmer
myyntimies, salesman
huomenna, tomorrow
opettaja, teacher
työntekijä, employee
läakäri, doctor
tyttöystävä, girlfriend
tietokone, computer
kylpyhuone, bathroom
kohtelias, polite
rehellinen, honest
kuuluisa, famous
mielenkiintoista, interesting
ärsyttävä, annoying
taitava, clever
kuitenkin, however
yhdessä, together
täydellinen, complete
järjestelmä, system
erityistä, special
todennäköinen, probable
äkillinen, sudden
sanakirja, dictionary
kansakunta, nation
menetelmä, method
kokeilu, experiment
suunnittelu, design
kaksikymmentä, twenty
jompikumpi, either
lämpötila, temperature
teollisuus, industry
luonnollinen, natural
nykyaikainen, modern
hyönteinen, insect
välttämätön, necessary
pikemminkin, rather
