rauhoittaa, calm
kiireinen, busy
väsynyt, tired
sateinen, rainy
onnellinen, happy
aurinkoinen, sunny
suuttunut, angry
naudanliha, beef
sairaanhoitaja, nurse
kalastaa, fish
sianliha, pork
vasikanliha, veal
seitsemän, seven
kahdeksan, eight
yhdeksän, nine
vesisade, rain
vuorovesi, tide
kurjenmiekka, iris
päivänkakkara, daisy
paatsama, holly
maljakko, vase
avaruusolento, alien
kantapää, heel
selkäranka, spine
kateellisuus, envy
syyllisyys, guilt
näyttelijä, actor
runoilija, poet
hienostelija, snob
hiljainen, quiet
suorasanainen, blunt
untuvapeitto, duvet
kuivausrumpu, drier
haisunäätä, skunk
tuoremehu, juice
hiekkaranta, beach
